id,source_section,acceptance_metric,evidence,test_file_or_doc,command,run_class,backend_coverage,precision_coverage,lattice_dimension,validation_type,current_status,notes
T9,VALIDATION.md T9,"Outflow no NaN; backflow <=5%; pressure oscillation ratio <=15x",executable test,crates/lbm-core/tests/validation_outflow.rs,cargo test --release -p lbm-core --test validation_outflow t9,default plus ignored,CPU compat,f64,D2Q9 2D,outlet stability and artifact,VALIDATED,Full horizon/pressure metric includes ignored coverage
T9b,VALIDATION.md T9b,ConvectiveOutflow stability and comparison to Outflow,executable test,crates/lbm-core/tests/validation_outflow.rs,cargo test --release -p lbm-core --test validation_outflow t9b,default plus ignored,CPU compat,f64,D2Q9 2D,outlet stability comparison,VALIDATED,Full pressure-ratio freeze is ignored
T10,VALIDATION.md T10,"Config errors; tau=0.51 stability; open-edge solid panic",executable test,crates/lbm-core/tests/validation_robustness.rs,cargo test --release -p lbm-core --test validation_robustness,default,CPU compat,f64,D2Q9 2D,construction and stability guard,VALIDATED,Not rerun in this session
T11-flat,VALIDATION.md T11,"SC densities; EOS pressure equilibrium; spurious current; mass",executable test,crates/lbm-core/tests/validation_multiphase.rs,cargo test --release -p lbm-core --test validation_multiphase t11_flat,default,CPU compat,f64,D2Q9 2D,multiphase physical validation,VALIDATED,Not rerun in this session
T11-laplace,VALIDATION.md T11,"Laplace law slope/R2; per-droplet sigma; full sweep ignored",executable test,crates/lbm-core/tests/validation_multiphase.rs,cargo test --release -p lbm-core --test validation_multiphase t11_laplace,default plus ignored,CPU compat,f64,D2Q9 2D,multiphase physical validation,VALIDATED,Full four-radius sweep ignored
T11-f32,VALIDATION.md T11,f32 flat-interface stability and density bands,executable test,crates/lbm-core/tests/validation_multiphase.rs,cargo test --release -p lbm-core --test validation_multiphase t11_f32,default,CPU compat,f32,D2Q9 2D,multiphase precision smoke,VALIDATED,Not rerun in this session
T11b,VALIDATION.md T11b,G_w contact-angle monotonicity and frozen angles,executable test,crates/lbm-core/tests/validation_contact_angle.rs,cargo test --release -p lbm-core --test validation_contact_angle t11b,default,CPU compat,f64,D2Q9 2D,wall-wetting validation,VALIDATED,Not rerun in this session
T11c,VALIDATION.md T11c,wall-rho contact angle full range and complete wetting,executable test,crates/lbm-core/tests/validation_contact_angle.rs,cargo test --release -p lbm-core --test validation_contact_angle t11c,default plus ignored,CPU compat,f64,D2Q9 2D,wall-wetting validation,VALIDATED,Full 3-angle sweep ignored
T12,VALIDATION.md T12,"MCMP separation; sigma_AB; RT growth fit; full 256^2 rate ignored",executable test,crates/lbm-core/tests/validation_rt.rs,cargo test --release -p lbm-core --test validation_rt,default plus ignored,CPU compat,f64,D2Q9 2D,multiphase instability validation,VALIDATED,Full RT growth-rate fit ignored
T13-inprocess,VALIDATION.md T13,"Split vs monolithic bit-match; diagnostics tolerance; adversarial seams",executable equivalence tests,"crates/lbm-core/tests/t13_split_invariance.rs; crates/lbm-core/tests/t13_adversarial.rs",cargo test --release -p lbm-core t13,default plus one ignored long run,CpuScalar decomposition,f64,"D2Q9 D3Q19 D3Q27; 2D and 3D",partition equivalence,VERIFIED-ONLY,Equivalence is not absolute physics validation
T13-MPI,VALIDATION.md T13,"MPI rank counts field match; diagnostics tolerance; mismatch-nu negative",manual MPI script,"crates/lbm-core/examples/mpi_t13.rs; scripts/test_mpi.sh",./scripts/test_mpi.sh,manual MPI,CPU MPI,f64,"D2Q9 D3Q19; 2D and 3D",distributed equivalence,BENCH-PENDING,Requires native MPI; not covered by cargo test
T14-D2,VALIDATION.md T14,CPU vs wgpu f32 relative fields/diagnostics across 7 configs,feature-gated tests,"crates/lbm-core/tests/t14_backend_equiv.rs; crates/lbm-core/tests/t14_adversarial.rs",cargo test --release -p lbm-core --features gpu --test t14_backend_equiv,feature gpu,CpuScalar vs Wgpu,f32,D2Q9 2D,backend equivalence,VERIFIED-ONLY,Relative equivalence only; no fresh GPU run here
T14-D3,VALIDATION.md T14 and current tests,CPU vs wgpu D3Q19 relative equivalence,feature-gated tests,"crates/lbm-core/tests/t14_3d_backend_equiv.rs; crates/lbm-core/tests/t14_wale_gpu_equiv.rs",cargo test --release -p lbm-core --features gpu --test t14_3d_backend_equiv,feature gpu,CpuScalar vs Wgpu,f32,D3Q19 3D,backend equivalence,VERIFIED-ONLY,Relative equivalence only; no fresh GPU run here
T15.1,VALIDATION.md T15.1,3D z-invariant TGV and Zou-He degeneracy to D2Q9,executable test,crates/lbm-core/tests/t15_3d.rs,cargo test --release -p lbm-core --test t15_3d t15_1,default,CPU native,f64,D3Q19 3D,dimensional degeneracy,VALIDATED,Not rerun in this session
T15.2,VALIDATION.md T15.2,Rectangular duct series L_inf and flow rate,executable test,crates/lbm-core/tests/t15_3d.rs,cargo test --release -p lbm-core --test t15_3d t15_2,default,CPU native,f64,D3Q19 3D,analytic 3D validation,VALIDATED,Not rerun in this session
T15.3,VALIDATION.md T15.3,Sphere drag vs Schiller-Naumann; light default and full ignored,executable test,"crates/lbm-core/tests/t15_3d.rs; crates/lbm-core/tests/t15_adversarial.rs",cargo test --release -p lbm-core --test t15_3d t15_3_sphere_drag_re20_light,default plus ignored,CPU native,f64,D3Q19 3D,literature/correlation validation,VALIDATED,Full D=24 cases ignored
T15.4,VALIDATION.md T15.4,True 3D TGV decay rate and order; D3Q27 TGV included,executable test,crates/lbm-core/tests/t15_3d.rs,cargo test --release -p lbm-core --test t15_3d t15_4,default,CPU native,f64,"D3Q19 D3Q27; 3D",analytic convergence,VALIDATED,D3Q27 full suite remains partial
T15.5,VALIDATION.md T15.5,3D cavity Re=1000 default sentinel; N=72 profiles/convergence ignored,executable test and reference doc,"crates/lbm-core/tests/t15_5_cavity3d.rs; docs/T15_5_CAVITY3D_REFERENCE.md",cargo test --release -p lbm-core --test t15_5_cavity3d,default plus ignored,CPU native,f64,D3Q19 3D,literature benchmark,VALIDATED,Spec-grade N=72 rows ignored
T15-f32,SOLVER D-4 and current tests,f32 3D degeneracy; TGV decay; mass drift,executable test,crates/lbm-core/tests/t15_3d_f32.rs,cargo test --release -p lbm-core --test t15_3d_f32,default,CPU native,f32,D3Q19 3D,precision validation,VALIDATED,Not rerun in this session
T16,VALIDATION.md T16 and PHYSICS T16,FP16 storage degradation vs f32 for TGV/cavity,feature-gated ignored tests and PHYSICS record,crates/lbm-core/tests/t16_fp16_storage.rs,cargo test --release -p lbm-core --features gpu --test t16_fp16_storage -- --ignored,feature gpu plus ignored,Wgpu,f16 storage f32 compute,D2Q9 2D,precision characterization,BENCH-PENDING,VALIDATION.md says not yet implemented while PHYSICS/tests show landed characterization
T17-01,VALIDATION.md T17; REQ section 8,Stirred-tank Np and PIV/LDA velocity lines,no full executable test found,none found,none found,not implemented,intended CPU/GPU/MPI,mixed_safe planned,D3Q19/D3Q27 3D,coupled multiphysics benchmark,SPEC-ONLY,Do not claim production stirred-tank validation
T17-02,VALIDATION.md T17; REQ section 8,"Single bubble; bubble swarm; aerated stirring; epsilon_g/d32/kLa",no full executable test found,none found,none found,not implemented,intended CPU/GPU/MPI,mixed_safe planned,D3Q27 3D,gas-liquid validation,SPEC-ONLY,No full acceptance evidence found
T17-03,VALIDATION.md T17; REQ section 8,"Stress/shear MMS; curved Couette; rotating cylinder; non-Newtonian; droplet",partial tests plus IBM divergence finding,"wale_les.rs; strain_rate.rs; rotating_ibm.rs; docs/qa/anomaly-log.md",targeted tests exist but full T17 command absent,partial default plus ignored skeleton,CPU native,f64/f32 partial,D2Q9/D3Q19 2D+3D,stress LES IBM validation,UNSAFE-CLAIM,Do not claim validated rotating-boundary or IBM production behavior
T17-04,VALIDATION.md T17; REQ section 8,"Scalar Taylor-Aris; reaction front; kLa",no executable validation found,none found,none found,not implemented,intended CPU/GPU/MPI,mixed_safe planned,3D,scalar/reaction validation,SPEC-ONLY,No full acceptance evidence found
T17-05,VALIDATION.md T17; REQ section 8,"Coupled drift thresholds for mass momentum scalar gas particles energy-like monitors",partial conservation tests only,none for full coupled T17,none found,not implemented,intended CPU/GPU/MPI,mixed_safe planned,3D,coupled conservation,SPEC-ONLY,Single-backend regression is not physical validation
T17-06,VALIDATION.md T17; REQ section 8,Well-balanced static stratification and active-scalar degeneracies,partial executable test,crates/lbm-core/tests/gravity.rs,cargo test --release -p lbm-core --test gravity vr_str_06,default partial,CPU native,f64/f32,D2Q9/D3Q19 2D+3D,well-balanced gravity,VERIFIED-ONLY,Active-scalar and variable-sigma degeneracies not fully implemented
T17-07,VALIDATION.md T17; REQ section 8,Initialization independence of quasi-steady statistics,no executable validation found,none found,none found,not implemented,intended CPU/GPU/MPI,mixed_safe planned,3D,statistical validation,SPEC-ONLY,No full acceptance evidence found
T17-RELAX,VALIDATION.md T17; REQ section 8,MRF/PB/one-way/AMR/f32 degradation vs fidelity references,no full executable validation found,none found,none found,not implemented,intended CPU/GPU/MPI,mixed profiles,3D,relaxation equivalence,SPEC-ONLY,Initial version reserves schema/validation only
T18.1,VALIDATION.md T18.1; DISPERSED_DEPOSITION CR-1,"Source/sink far-field; mass ledger; jet momentum; validation errors; partition; GPU rejection",executable test,crates/lbm-core/tests/t18_1_interior_source_sink.rs,cargo test --release -p lbm-core --test t18_1_interior_source_sink,default plus ignored plus feature gpu,CPU scalar/partition and GPU rejection,f64,D3Q19 3D,source/sink validation,VALIDATED,Feature gpu rejection requires separate GPU build
T18.2,VALIDATION.md T18.2; DISPERSED_DEPOSITION CR-2,"Masked face impinging jet mass and wall-jet behavior; validation errors; seam; GPU rejection",executable test,crates/lbm-core/tests/t18_2_masked_face.rs,cargo test --release -p lbm-core --test t18_2_masked_face,default plus feature gpu,CPU scalar/partition and GPU rejection,f64,D3Q19 3D,boundary patch validation,VALIDATED,Feature gpu rejection requires separate GPU build
T18.3,VALIDATION.md T18.3; DISPERSED_DEPOSITION CR-3,"Particle settling vs SN/Stokes; floor crossing; determinism; partition-invariant deposits",executable tests,"crates/lbm-core/tests/t18_3_particle_settling.rs; crates/lbm-core/tests/t18_3_particle_deposition.rs",cargo test --release -p lbm-core --test t18_3_particle_settling --test t18_3_particle_deposition,default,CPU sampler and partitioned field,f64,particle model over 3D samples,particle/deposition validation,VALIDATED,Near-neutral model-validity limits are documented separately
T18.4,VALIDATION.md T18.4; DISPERSED_DEPOSITION section 6,Forward-model monotone trends and gentle CV band,example-level docs only found in current tree,DISPERSED_DEPOSITION.md,none found,example/manual,CLI/example intended,mixed,application-level deposition,forward-model behavior anchors,SPEC-ONLY,Earlier ad-hoc bands must not be generalized
T18.5,VALIDATION.md T18.5; DISPERSED_DEPOSITION section 7,Inverse recovery of known-good synthetic recipe,explicit stub,VALIDATION.md and DISPERSED_DEPOSITION.md,none,not implementable yet,not implemented,not implemented,not implemented,inverse validation,SPEC-ONLY,Stub
